id,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price
1,2022-08-23,O'Connell and Sons,Hyundai,Azera,2006,Aquamarine,74188
2,2018-10-10,"Greenholt, Nolan and Rath",Mazda,B-Series Plus,2000,Blue,60330
3,2018-04-19,Huels Group,Suzuki,Verona,2005,Violet,25279
4,2018-10-25,"Orn, Bayer and Rippin",Volkswagen,Touareg 2,2009,Crimson,87772
5,2019-12-18,Turcotte-Fay,Infiniti,QX,2000,Green,37679
6,2019-10-04,Rogahn Inc,Nissan,Versa,2012,Crimson,69148
7,2023-03-01,Heidenreich-Dach,Volkswagen,Golf,2011,Khaki,33250
8,2018-07-31,Bashirian Group,BMW,Z4,2011,Aquamarine,50096
9,2019-08-27,Bergnaum LLC,Toyota,Celica,1998,Puce,15379
10,2018-01-16,"Pfeffer, Kiehn and Mraz",BMW,Z4,2011,Fuscia,17390
11,2019-07-25,Koch-McClure,Ford,E150,2008,Indigo,12964
12,2018-02-24,"Adams, Stroman and Parisian",Mitsubishi,Pajero,1990,Crimson,23641
13,2018-02-12,Mitchell-Gottlieb,Dodge,Intrepid,1994,Teal,44866
14,2022-09-27,Stanton-Cremin,Pontiac,Montana,2000,Puce,48233
15,2019-01-04,Robel Inc,Buick,Somerset,1985,Maroon,26728
16,2020-07-19,Torphy-Blick,Nissan,Quest,1997,Turquoise,22126
17,2020-04-18,Powlowski-Haley,Ford,Mustang,1972,Mauv,29431
18,2022-10-12,Schuppe-Schaden,Pontiac,Bonneville,1984,Red,24529
19,2021-04-17,Barrows Inc,Pontiac,GTO,1973,Blue,89760
20,2022-03-20,"Orn, Franecki and Kertzmann",Lincoln,Continental Mark VII,1986,Goldenrod,43060
21,2023-01-20,Hane LLC,Ford,LTD,1984,Turquoise,24405
22,2019-05-24,Conroy and Sons,Jeep,Grand Cherokee,2002,Crimson,67809
23,2022-04-30,"Batz, Block and Dare",GMC,Envoy,2008,Pink,63582
24,2019-08-22,Reichert Group,Nissan,Pathfinder,1993,Blue,53777
25,2018-12-05,Murazik LLC,Citroën,SM,1972,Blue,59866
26,2018-12-03,Smith Inc,Honda,CR-Z,2011,Indigo,35501
27,2019-01-26,Runolfsson LLC,Volkswagen,Golf,2003,Maroon,95400
28,2019-12-12,Hudson-Casper,GMC,2500,1997,Purple,12099
