id,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price
1,2023-04-26,"Braun, Hane and Raynor",Chevrolet,Express 1500,2006,Fuscia,91007
2,2023-02-18,Rath and Sons,Lotus,Elan,1994,Turquoise,17587
3,2022-11-14,"Mayert, Kuvalis and Lindgren",Lexus,SC,1999,Teal,78650
4,2023-04-27,Orn Inc,Infiniti,EX,2009,Green,76409
5,2023-03-02,Jones-Fay,Volkswagen,Jetta,1990,Mauv,28317
6,2023-05-01,Kub-Kshlerin,Volvo,C70,2007,Indigo,64441
7,2022-12-29,Mills-Mante,Toyota,Tacoma,1996,Khaki,30500
8,2022-11-25,Wilkinson-Lueilwitz,Volkswagen,Jetta,1990,Purple,40044
9,2023-04-05,Bergnaum Group,Infiniti,G,2007,Violet,44746
10,2022-12-04,Zulauf LLC,Mercury,Grand Marquis,1992,Mauv,50585
11,2022-12-27,Kris Inc,Chrysler,Sebring,2002,Crimson,56876
12,2022-11-27,"Hackett, Cremin and Graham",Suzuki,Sidekick,1991,Puce,29761
13,2023-03-04,Raynor-Schmitt,Saturn,S-Series,1996,Purple,63515
14,2023-02-23,Herman LLC,Lincoln,Mark VII,1984,Maroon,80713
15,2023-05-06,Bosco LLC,Ford,Bronco II,1984,Violet,26431
16,2022-12-04,Hoeger-Rodriguez,Ford,Thunderbird,2002,Puce,86162
17,2023-02-08,"Lakin, Bergnaum and Cummings",Hyundai,Tiburon,2000,Mauv,51279
18,2023-02-12,"Auer, Green and Ruecker",Lexus,RX,2003,Purple,27857
19,2022-11-19,Rempel-Crooks,Hyundai,Tiburon,1998,Fuscia,14878
20,2023-01-04,Quigley Group,Scion,xB,2006,Yellow,81272
21,2023-03-20,"Armstrong, Schamberger and Watsica",Lexus,LX,2005,Turquoise,54932
22,2022-11-17,Green-Will,GMC,Yukon XL 1500,2009,Pink,14953
23,2023-01-15,Romaguera LLC,Suzuki,Samurai,1994,Puce,72435
24,2023-02-14,Ryan-Lind,Chevrolet,Tahoe,2012,Khaki,85843
25,2022-11-27,Prosacco-Metz,GMC,Envoy XUV,2005,Yellow,83251
26,2022-12-25,"D'Amore, Braun and Kunze",Aston Martin,V8 Vantage S,2011,Fuscia,14744
27,2023-02-14,Heidenreich-Schiller,BMW,Z3,2001,Green,31371
28,2023-02-18,Thiel-Haag,Honda,Odyssey,2009,Red,26689
29,2022-11-21,"Casper, Kuphal and Okuneva",Lexus,SC,2006,Teal,22434
30,2023-02-15,Hills Inc,Chevrolet,Tracker,2001,Fuscia,33758
31,2023-03-19,Stroman-Turcotte,Nissan,Sentra,2003,Crimson,14266
32,2022-12-06,"Satterfield, Douglas and Littel",Toyota,Avalon,2009,Orange,80606
33,2023-04-20,"Toy, Runolfsson and Corwin",Holden,VS Commodore,1995,Goldenrod,86399
34,2023-03-20,Boehm Inc,Buick,Riviera,1998,Aquamarine,67401
35,2022-12-30,Johnston-Orn,Lamborghini,Diablo,1996,Blue,20493
36,2022-12-19,McClure-Koss,Dodge,Caravan,1994,Teal,14692
37,2023-01-13,Dibbert Group,Aston Martin,V8 Vantage,2007,Turquoise,77875
38,2023-04-10,Kunde-Goodwin,Dodge,Ram,2011,Goldenrod,40651
39,2022-11-24,"Hahn, Weissnat and Bergstrom",Pontiac,GTO,1968,Turquoise,74992
40,2022-11-16,"Armstrong, Schultz and Weimann",Ford,Bronco II,1984,Red,34498
41,2022-12-06,"Moen, Barton and Padberg",Chevrolet,Suburban 2500,1994,Maroon,93192
42,2023-05-03,McGlynn Group,Mazda,MX-3,1994,Blue,92219
43,2023-03-11,"Hodkiewicz, Gusikowski and Champlin",Mitsubishi,Galant,2011,Green,34900
44,2023-01-03,Bruen LLC,Lincoln,Town Car,2002,Red,94200
45,2022-12-22,Mann-Murphy,Chevrolet,Express 3500,1999,Red,67486
46,2023-03-24,Fadel LLC,Toyota,Camry,1995,Mauv,97092
47,2023-03-11,Bernier and Sons,Jaguar,XK,2012,Pink,41275
48,2023-02-06,"Farrell, Lowe and Cremin",Merkur,XR4Ti,1985,Blue,16021
49,2023-01-29,"Kling, Nicolas and Kautzer",Jeep,Wrangler,1997,Turquoise,99756
50,2023-05-05,Hickle-Cremin,GMC,Sierra 1500,2000,Green,51391
51,2023-02-14,Hansen LLC,Hyundai,Entourage,2009,Aquamarine,75081
52,2022-12-06,Hilll Inc,Kia,Sportage,2012,Violet,27716
53,2023-04-20,Mayert-Barrows,Mercedes-Benz,SLK-Class,2005,Blue,51682
54,2023-02-12,"Waters, Denesik and Weimann",Audi,S6,2009,Pink,73457
55,2022-12-02,"Robel, Schamberger and Kozey",Mitsubishi,Truck,1987,Indigo,91251
56,2023-05-05,Funk Inc,Ford,Aerostar,1997,Purple,15427
57,2023-04-24,Windler LLC,GMC,Canyon,2010,Green,48528
58,2022-12-18,"Roob, Predovic and Zboncak",Pontiac,Daewoo Kalos,2006,Violet,73022
59,2023-04-01,Davis-Lang,Porsche,911,2006,Turquoise,40059
60,2023-04-05,"Bergnaum, Frami and Veum",Lexus,GS,2010,Violet,32144
61,2022-12-08,"O'Hara, Hermiston and Feil",Geo,Prizm,1995,Turquoise,88046
62,2022-12-29,Erdman-Mertz,Lexus,RX,2010,Khaki,30665
63,2023-02-25,Collins-Smitham,Mazda,Tribute,2008,Khaki,88919
64,2023-03-18,Parker-Metz,MINI,Cooper,2002,Orange,92907
65,2022-11-15,Glover-Watsica,Dodge,Ram Wagon B150,1993,Violet,53655
66,2023-04-30,"Denesik, Feeney and Waelchi",Isuzu,Rodeo,2000,Green,31157
67,2022-12-16,"Bayer, Rempel and Davis",Geo,Metro,1994,Khaki,65956
68,2023-04-05,Nicolas and Sons,Mazda,RX-8,2008,Indigo,66065
69,2023-04-20,Jacobi Inc,Toyota,Prius,2002,Red,79625
70,2023-02-13,"Turner, Stracke and Raynor",Chevrolet,G-Series G30,1995,Violet,89330
71,2022-11-19,"Von, Wunsch and Green",BMW,7 Series,2005,Red,57871
72,2023-03-26,"Rempel, Runte and Wunsch",Land Rover,Range Rover,2003,Yellow,64269
73,2023-04-10,Funk Group,Acura,TSX,2009,Blue,92533
74,2022-12-29,"Rowe, Bergstrom and O'Kon",Chrysler,300M,1999,Indigo,56047
75,2023-03-07,"Considine, Zulauf and MacGyver",Mitsubishi,Pajero,1985,Indigo,27651
76,2023-01-22,"Baumbach, Braun and Yundt",Kia,Sedona,2011,Purple,31135
77,2022-12-29,Harber-Kemmer,Nissan,Murano,2004,Blue,57152
78,2023-01-08,"Jacobi, Frami and Littel",GMC,Yukon XL 1500,2009,Crimson,91914
79,2022-12-16,Swift-Bartoletti,Land Rover,LR3,2005,Maroon,79344
80,2022-12-27,McClure Group,Infiniti,QX,2007,Teal,67514
81,2023-04-18,Abernathy and Sons,Infiniti,M,2007,Blue,52155
82,2022-12-12,Murray-Watsica,Nissan,Datsun/Nissan Z-car,1990,Maroon,80281
83,2023-04-04,"Stark, Koss and Murphy",Kia,Mohave/Borrego,2009,Puce,62944
84,2023-02-01,"Bailey, Brakus and Kirlin",Volvo,XC70,2003,Crimson,50695
85,2023-01-25,Homenick LLC,GMC,Envoy,2002,Mauv,23622
86,2023-01-13,"Mann, West and Reilly",Saab,9-3,2009,Goldenrod,75989
87,2023-02-10,Hodkiewicz-Farrell,Dodge,Ram Van B250,1992,Khaki,70994
88,2023-05-06,Johnston-Boehm,Volvo,XC70,2009,Turquoise,12176
89,2022-11-29,Denesik Inc,Ford,Expedition,2008,Khaki,91206
90,2023-02-04,"Quitzon, Barton and Kilback",GMC,Sierra 1500,2002,Goldenrod,53458
91,2022-12-09,Harris-Schneider,Chrysler,200,2011,Maroon,70089
92,2023-04-16,Hamill-Mueller,Ford,Ranger,2006,Indigo,10115
93,2023-02-27,"Champlin, Wyman and Pouros",Mercury,Cougar,1986,Fuscia,15920
94,2023-01-11,Yost and Sons,Jeep,Patriot,2008,Teal,81723
95,2023-05-04,"Grady, Herzog and Skiles",Mercury,Topaz,1992,Crimson,90622
96,2023-04-02,Feest Group,Buick,LeSabre,1989,Maroon,65380
97,2023-05-02,"Zboncak, Hilpert and Schroeder",Honda,Accord,1996,Khaki,24194
98,2022-12-03,Cassin-Stoltenberg,Ford,Fiesta,2012,Mauv,37604
99,2022-11-25,Wunsch-Hyatt,Toyota,Prius,2012,Orange,18027
100,2023-02-17,"Heaney, Okuneva and Ryan",Porsche,911,1989,Aquamarine,93607
101,2022-11-27,West Group,Mercury,Grand Marquis,1985,Maroon,20966
102,2023-02-20,Grady-Lockman,Ford,F250,2006,Pink,52103
103,2022-11-21,"Strosin, Cole and Leuschke",Pontiac,Firebird,2002,Fuscia,32627
104,2023-01-11,Luettgen-Beatty,Dodge,Stratus,2006,Mauv,40351
105,2023-04-12,Wehner and Sons,Suzuki,Reno,2008,Purple,70412
106,2023-01-29,Davis Group,GMC,Savana 1500,2004,Red,66640
107,2023-03-23,"Pfannerstill, Paucek and Macejkovic",Audi,V8,1994,Aquamarine,80686
108,2023-03-30,MacGyver Group,Chrysler,PT Cruiser,2005,Fuscia,66787
109,2023-05-03,Gottlieb Inc,Ford,Crown Victoria,2006,Fuscia,87654
110,2023-01-14,Olson-Berge,Hyundai,Accent,2002,Teal,35337
111,2023-03-04,Conroy Group,Ford,Ranger,1992,Violet,47027
112,2022-12-06,O'Hara Group,Mazda,B-Series,1987,Teal,78650
113,2023-01-21,Wintheiser and Sons,Mazda,RX-8,2004,Turquoise,73080
114,2022-11-29,"Crona, Schuster and Wilkinson",GMC,Sierra 3500,2012,Indigo,42697
115,2022-11-21,Wisozk-Oberbrunner,GMC,Sierra 1500,2002,Violet,53342
116,2023-03-29,Schuppe Inc,Lexus,SC,2000,Maroon,95999
117,2023-03-12,Friesen Group,Mitsubishi,Galant,1995,Indigo,24991
118,2023-02-28,Bayer Inc,Volvo,960,1997,Green,23880
119,2023-01-09,"Quigley, Reinger and Rice",Chevrolet,Suburban 1500,1998,Puce,68843
120,2023-01-08,"Crist, Huels and Wyman",Ford,F250,1994,Pink,30406
121,2023-03-19,"Crooks, Kozey and Pfannerstill",GMC,Safari,1996,Aquamarine,59824
122,2023-02-02,"Cruickshank, Wiegand and Hackett",Pontiac,LeMans,1990,Aquamarine,39839
123,2023-02-20,McGlynn-Bartoletti,Buick,Park Avenue,2005,Orange,86141
124,2022-12-30,Reichert-Oberbrunner,Mitsubishi,Eclipse,2001,Orange,74135
125,2023-01-16,"Lakin, Mohr and Trantow",Mercedes-Benz,E-Class,1996,Red,89630
126,2023-01-06,"Feeney, Carroll and Lockman",Audi,A4,1999,Purple,84667
127,2023-01-23,"Weber, Dare and Leuschke",Ford,Country,1967,Crimson,29956
128,2023-01-29,"Williamson, Grady and Cummerata",Mitsubishi,Truck,1985,Yellow,85665
129,2023-01-14,Donnelly-Daugherty,Mitsubishi,3000GT,1999,Green,93385
130,2023-01-20,"Hayes, Lesch and Turner",Volkswagen,Touareg,2008,Puce,18989
131,2022-12-15,Gerlach-Kozey,Mitsubishi,Challenger,1998,Turquoise,48039
132,2023-04-29,"Hettinger, Koepp and Turner",Land Rover,Freelander,2002,Maroon,53635
133,2023-02-14,Cummings-Moore,Mercedes-Benz,W126,1981,Indigo,23466
134,2023-04-04,"Abbott, Goldner and Mitchell",Pontiac,Grand Am,1992,Blue,73031
135,2023-01-03,"Barrows, Bernhard and Murazik",Toyota,Prius,2010,Maroon,62359
136,2023-03-04,McKenzie Group,Ford,Focus,2010,Yellow,92209
137,2023-03-29,"Maggio, Maggio and Mann",Mercedes-Benz,CL65 AMG,2009,Puce,12597
138,2023-02-10,"Robel, Considine and Steuber",Buick,Skylark,1985,Turquoise,28596
139,2022-12-15,Volkman Inc,Mercury,Grand Marquis,2006,Indigo,23819
140,2023-04-27,Bahringer-Anderson,Bentley,Continental GTC,2008,Violet,46728
141,2023-04-30,Veum Group,Dodge,Ram 1500,1996,Blue,67183
142,2023-01-27,Schulist and Sons,GMC,Suburban 1500,1998,Khaki,29371
143,2023-03-20,"Moen, Swift and Harris",Mercury,Tracer,1991,Fuscia,18716
144,2022-11-16,Leffler Inc,Chevrolet,Silverado 2500,2005,Fuscia,78796
145,2023-04-23,Ullrich LLC,Mercedes-Benz,C-Class,1998,Maroon,70173
146,2022-11-22,"Ferry, Mante and Cormier",Chevrolet,Corvette,2006,Orange,57064
147,2023-02-09,Lindgren-Kessler,Dodge,Avenger,2000,Aquamarine,24583
148,2023-01-27,Kunde Group,GMC,Savana 1500,2012,Red,11611
149,2023-03-17,Parker-Kautzer,Suzuki,Esteem,1997,Mauv,50472
150,2023-03-19,Haag-Kertzmann,Honda,Accord,1997,Purple,29777
151,2022-12-13,"Lockman, Pacocha and Berge",Chevrolet,Tracker,2004,Crimson,39473
152,2022-11-29,Wunsch Group,Saab,9000,1993,Blue,57868
153,2023-04-22,Carter LLC,Cadillac,CTS-V,2009,Green,82815
154,2023-02-26,"Terry, Hudson and Jast",Chevrolet,Impala,2000,Goldenrod,11621
155,2023-02-23,Schmidt LLC,Toyota,4Runner,1996,Teal,40280
156,2022-12-17,"Stoltenberg, Rodriguez and Prohaska",Mitsubishi,Pajero,1998,Maroon,70309
157,2023-02-07,White LLC,Maserati,Spyder,2002,Aquamarine,23434
