id,date_purchased,company,car_make,car_model,car_year,car_color,purchase_price
1,2019-10-04,Zieme-Gleason,Volvo,C70,2011,Goldenrod,85387
2,2018-09-28,"Nicolas, Corwin and Hermiston",BMW,Z4,2008,Aquamarine,83768
3,2019-07-10,Ruecker-Koss,Mercury,Tracer,1996,Maroon,73109
4,2021-05-20,Jast Inc,Ford,Econoline E250,1993,Pink,98358
5,2023-03-06,MacGyver and Sons,Chrysler,Pacifica,2006,Violet,84652
6,2019-04-20,Kautzer-Morar,Ford,Expedition EL,2010,Goldenrod,44307
7,2020-05-25,Mills-Schultz,Lexus,LX,2008,Fuscia,93622
8,2020-05-28,Balistreri-Romaguera,Dodge,Ram Van 2500,2003,Mauv,57557
9,2018-04-21,"Hilll, Rohan and Price",Lamborghini,Gallardo,2010,Teal,43471
10,2022-03-24,Kozey-McKenzie,Volvo,XC70,2003,Crimson,51273
11,2022-04-25,Rogahn-Botsford,Lotus,Esprit,2001,Yellow,82732
12,2018-10-24,Kulas and Sons,Ford,F150,2012,Turquoise,79579
13,2018-12-12,Grady and Sons,Subaru,Tribeca,2012,Khaki,37681
14,2021-08-30,Goldner and Sons,Chevrolet,G-Series 3500,1997,Indigo,45036
15,2020-06-18,"Trantow, Boehm and Macejkovic",Chevrolet,Silverado 3500,2001,Green,12412
16,2021-12-22,MacGyver LLC,Nissan,Frontier,1999,Puce,40552
17,2021-09-28,Conroy Inc,Chevrolet,Cavalier,1998,Teal,11390
18,2020-08-13,Nitzsche-Wiegand,Jeep,Liberty,2005,Blue,57024
19,2022-04-12,Auer Group,Ford,Tempo,1993,Indigo,19362
20,2022-10-12,Lueilwitz-Bruen,Dodge,Caravan,1985,Goldenrod,57068
21,2019-03-11,Sanford Inc,Volkswagen,Rabbit,2008,Orange,87569
22,2020-07-13,"Franecki, Trantow and Ondricka",GMC,Yukon,2001,Khaki,41772
23,2020-12-28,Beer-Goyette,Ford,F-Series,1997,Khaki,65674
24,2021-11-09,Schaefer and Sons,Studebaker,Avanti,1964,Crimson,50352
25,2019-09-18,Bashirian Group,Chevrolet,Corvette,2008,Fuscia,60411
26,2018-09-27,Kris-Jacobson,Nissan,JUKE,2011,Maroon,30338
27,2018-11-22,Prosacco Group,Chevrolet,1500,1999,Pink,37479
28,2018-10-21,"Wisozk, Kunde and Hand",Pontiac,LeMans,1968,Orange,38171
29,2018-09-16,Grant-Zieme,Kia,Spectra,2004,Purple,31035
30,2022-12-22,"Gorczany, Brown and Bartell",Eagle,Talon,1993,Blue,38375
31,2020-09-05,Hamill LLC,Ford,Econoline E350,1994,Yellow,44060
32,2020-11-04,McDermott-Zulauf,GMC,Savana,2010,Violet,21243
33,2021-03-26,Donnelly and Sons,Mazda,Protege5,2002,Crimson,40770
34,2021-04-09,Bartoletti-Powlowski,Geo,Prizm,1996,Yellow,24417
35,2019-05-08,Hilpert and Sons,Mercury,Sable,1999,Goldenrod,45714
36,2021-12-15,Abbott-Romaguera,Mercury,Villager,2000,Puce,63936
37,2021-07-22,Homenick Inc,Pontiac,Torrent,2006,Green,82464
38,2022-04-01,Hintz-McKenzie,Chevrolet,Suburban 1500,2007,Pink,76659
39,2020-08-06,"Schuster, Lesch and Muller",Chevrolet,Sportvan G10,1992,Turquoise,85881
40,2020-06-24,Ryan LLC,Toyota,Sequoia,2001,Indigo,43411
41,2019-08-09,"Abshire, Reilly and Sawayn",Ford,Ranger,1996,Turquoise,45637
42,2018-03-10,"Stiedemann, Batz and Wintheiser",Mazda,CX-7,2010,Goldenrod,32147
43,2018-01-05,"Maggio, Schmeler and Waelchi",Dodge,Ram 3500,1999,Maroon,59735
44,2018-07-27,"Murphy, Toy and Turner",Chrysler,300M,2003,Teal,31710
45,2023-04-10,Brakus LLC,Plymouth,Voyager,1993,Khaki,19277
46,2021-12-27,Auer and Sons,BMW,3 Series,1997,Fuscia,30304
47,2023-03-24,"Hodkiewicz, Rolfson and Roob",Mercedes-Benz,R-Class,2011,Maroon,58673
48,2023-02-19,Kunde Inc,Nissan,Sentra,1993,Goldenrod,22216
49,2019-02-20,Carroll Group,Dodge,Caravan,1993,Aquamarine,80401
50,2018-04-01,Hagenes LLC,Buick,Regal,1986,Teal,91651
51,2022-06-08,Kemmer Group,Mazda,Protege,2001,Orange,42221
52,2021-03-26,Berge and Sons,Nissan,Pathfinder,1993,Indigo,59170
53,2018-05-16,"Kassulke, Sanford and Nolan",Mazda,MPV,1995,Orange,55549
